Make,mpg
Tata,14
Tata,31.9
Tata,17
Tata,15
Tata,30.5
Tata,23
Datsun,13
Datsun,14
Datsun,25.4
Datsun,37.7
Datsun,34
Datsun,34.3
Renault,16
Renault,11
Renault,19.1
Renault,16.9
Renault,31.8
Renault,16
Renault,24
Renault,24
Renault,37.2
Renault,21.5
Renault,24
Renault,15.5
Maruti Suzuki,38.1
Maruti Suzuki,33
Maruti Suzuki,31
Maruti Suzuki,14
Maruti Suzuki,18
Maruti Suzuki,29.9
Maruti Suzuki,27
Maruti Suzuki,16
Maruti Suzuki,23
Maruti Suzuki,21
Maruti Suzuki,30
Datsun,22.4
Datsun,26
Datsun,21.5
Datsun,16.5
Datsun,20.2
Datsun,16
Datsun,14
Datsun,18.5
Datsun,17.5
Maruti Suzuki,14
Maruti Suzuki,31.6
Hyundai,13
Hyundai,22
Hyundai,29
Hyundai,20.2
Hyundai,13
Hyundai,27.2
Hyundai,14
Hyundai,24
Tata,16.5
Tata,16
Tata,19
Tata,33.5
Tata,29
Tata,13
Tata,18
Tata,22
Maruti Suzuki,32.7
Maruti Suzuki,46.6
Maruti Suzuki,14
Maruti Suzuki,18.5
Maruti Suzuki,26
Maruti Suzuki,32
Maruti Suzuki,29.5
Maruti Suzuki,17.5
Maruti Suzuki,20
Maruti Suzuki,27
Maruti Suzuki,28
Maruti Suzuki,24
Maruti Suzuki,29
Maruti Suzuki,38
Maruti Suzuki,22.5
Renault,21.1
Renault,26
Renault,32.4
Renault,15.5
Premier,12
Premier,19.2
Premier,23
Premier,25
Premier,35
Premier,18
Toyota,17.6
Toyota,28
Toyota,31
Toyota,34.1
Toyota,27.2
Toyota,13
Toyota,17
Toyota,26
Toyota,17
Toyota,12
Toyota,18
Toyota,18.2
Toyota,16
Toyota,11
Nissan,12
Nissan,25
Nissan,34.2
Tata,32.2
Tata,26.6
Tata,43.4
Tata,30
Tata,25
Tata,18
Tata,20
Tata,18
Hyundai,16
Hyundai,33
Hyundai,37.3
Hyundai,18
Hyundai,24.5
Hyundai,21
Maruti Suzuki,34.4
Maruti Suzuki,15
Maruti Suzuki,27
Hyundai,26
Hyundai,16
Hyundai,23.2
Hyundai,27
Hyundai,26.5
Hyundai,13
Hyundai,30.9
Hyundai,20
Hyundai,36.1
Hyundai,26
Hyundai,28
Hyundai,12
Hyundai,17
Hyundai,15
Hyundai,16
Hyundai,26
Hyundai,13
Hyundai,22
Hyundai,21
Hyundai,26.8
Hyundai,29
Hyundai,32
Hyundai,35.1
Hyundai,19.2
Volkswagen,23
Volkswagen,20.6
Volkswagen,27
Volkswagen,15
Volkswagen,18.1
Volkswagen,31.3
Volkswagen,27.5
Volkswagen,14
Maruti Suzuki,15
Maruti Suzuki,28
Maruti Suzuki,19
Maruti Suzuki,18
Maruti Suzuki,29.5
Maruti Suzuki,19
Maruti Suzuki,16.2
Maruti Suzuki,24.3
Maruti Suzuki,17.5
Maruti Suzuki,18
Maruti Suzuki,23
Maruti Suzuki,23
Maruti Suzuki,19.9
Maruti Suzuki,16
Ford,26
Ford,20
Ford,38
Ford,32.4
Ford,20.3
Ford,29
Ford,31
Ford,21
Volkswagen,26
Volkswagen,14
Volkswagen,14
Volkswagen,20.2
Volkswagen,31.5
Volkswagen,19.8
Volkswagen,33.8
Volkswagen,17.5
Ford,18
Ford,34
Ford,20.8
Ford,18
Ford,13
Ford,14
Ford,13
Ford,25.8
Ford,28.4
Ford,13
Ford,15
Ford,14
Ford,41.5
Toyota,27.2
Toyota,43.1
Toyota,29
Toyota,33.5
Toyota,26
Toyota,23
Toyota,23.9
Toyota,19
Toyota,21
Toyota,15
Toyota,40.8
Toyota,18
Toyota,13
Toyota,25.4
Toyota,22
Toyota,17.7
Mahindra,39.1
Mahindra,30
Mahindra,22
Fiat,32.9
Fiat,37
Fiat,14.5
Fiat,28.8
Toyota,15
Toyota,17.5
Toyota,21.6
Toyota,14
Toyota,16.5
Fiat,14
Fiat,32
Fiat,10
Honda,31
Honda,21
Honda,27
Honda,15
Honda,28
Honda,23
Honda,16
Honda,20
Jeep,44
Jeep,14
Isuzu,20.2
Isuzu,39
Mahindra,23
Mahindra,13
Volkswagen,18
Volkswagen,16
Honda,25
Honda,14
Honda,15
Skoda,19.4
Skoda,44.3
Audi,28
Audi,29
Audi,32.1
Audi,24
Skoda,36.4
Skoda,13
Skoda,23.5
Dc,24
Audi,17
Audi,36.1
Audi,22
Audi,18
Mini,22
